siren;nom;nature;fiscalite;nb_com;ptot;insee;nom_com;ptot_com;pmun_com;pmun;siren_com
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14792;01304;Pont-d'Ain;2960;2914;14449;210103040
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14792;01199;Jujurieux;2228;2181;14449;210101994
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14792;01363;Saint-Jean-le-Vieux;1800;1699;14449;210103636
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14792;01273;Neuville-sur-Ain;1773;1741;14449;210102737
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14792;01314;Priay;1746;1707;14449;210103149
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14792;01303;Poncin;1729;1696;14449;210103032
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14792;01068;Cerdon;798;785;14449;210100681
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14792;01430;Varambon;543;531;14449;210104303
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14792;01056;Boyeux-Saint-Jérôme;360;354;14449;210100566
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14792;01200;Labalme;214;212;14449;210102000
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14792;01077;Challes-la-Montagne;195;193;14449;210100772
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14792;01331;Saint-Alban;183;179;14449;210103313
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14792;01404;Serrières-sur-Ain;133;131;14449;210104048
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14792;01242;Mérignat;130;126;14449;210102422
200040350;CC Bugey Sud;CC;FPU;43;34828;01034;Belley;9542;9133;33837;210100343
200040350;CC Bugey Sud;CC;FPU;43;34828;01138;Culoz;3109;3053;33837;210101382
200040350;CC Bugey Sud;CC;FPU;43;34828;01036;Valromey-sur-Séran;1315;1299;33837;200086411
200040350;CC Bugey Sud;CC;FPU;43;34828;01022;Artemare;1248;1227;33837;210100228
200040350;CC Bugey Sud;CC;FPU;43;34828;01338;Groslée-Saint-Benoit;1227;1193;33837;200060143
200040350;CC Bugey Sud;CC;FPU;43;34828;01061;Brens;1196;1169;33837;210100616
200040350;CC Bugey Sud;CC;FPU;43;34828;01454;Virignin;1120;1089;33837;210104543
200040350;CC Bugey Sud;CC;FPU;43;34828;01098;Chazey-Bons;1113;1079;33837;200063121
200040350;CC Bugey Sud;CC;FPU;43;34828;01452;Virieu-le-Grand;1069;1056;33837;210104527
200040350;CC Bugey Sud;CC;FPU;43;34828;01073;Ceyzérieu;1038;1012;33837;210100731
200040350;CC Bugey Sud;CC;FPU;43;34828;01286;Parves et Nattages;960;937;33837;200059913
200040350;CC Bugey Sud;CC;FPU;43;34828;01294;Peyrieu;877;862;33837;210102943
200040350;CC Bugey Sud;CC;FPU;43;34828;01058;Brégnier-Cordon;868;849;33837;210100582
200040350;CC Bugey Sud;CC;FPU;43;34828;01079;Champagne-en-Valromey;850;825;33837;210100798
200040350;CC Bugey Sud;CC;FPU;43;34828;01453;Arvière-en-Valromey;742;716;33837;200086403
200040350;CC Bugey Sud;CC;FPU;43;34828;01187;Haut Valromey;727;695;33837;200053676
200040350;CC Bugey Sud;CC;FPU;43;34828;01015;Arboys en Bugey;656;640;33837;200053668
200040350;CC Bugey Sud;CC;FPU;43;34828;01227;Magnieu;652;640;33837;200084978
200040350;CC Bugey Sud;CC;FPU;43;34828;01239;Massignieu-de-Rives;627;613;33837;210102398
200040350;CC Bugey Sud;CC;FPU;43;34828;01116;Contrevoz;515;500;33837;210101168
200040350;CC Bugey Sud;CC;FPU;43;34828;01039;Béon;472;464;33837;210100392
200040350;CC Bugey Sud;CC;FPU;43;34828;01415;Talissieu;458;448;33837;210104154
200040350;CC Bugey Sud;CC;FPU;43;34828;01141;Cuzieu;449;436;33837;210101416
200040350;CC Bugey Sud;CC;FPU;43;34828;01372;Saint-Martin-de-Bavel;443;438;33837;210103727
200040350;CC Bugey Sud;CC;FPU;43;34828;01358;Saint-Germain-les-Paroisses;438;434;33837;210103586
200040350;CC Bugey Sud;CC;FPU;43;34828;01133;Cressin-Rochefort;404;393;33837;210101333
200040350;CC Bugey Sud;CC;FPU;43;34828;01009;Andert-et-Condon;344;336;33837;210100095
200040350;CC Bugey Sud;CC;FPU;43;34828;01268;Murs-et-Gélignieux;260;255;33837;210102687
200040350;CC Bugey Sud;CC;FPU;43;34828;01310;Prémeyzel;251;247;33837;210103107
200040350;CC Bugey Sud;CC;FPU;43;34828;01193;Izieu;244;242;33837;210101937
200040350;CC Bugey Sud;CC;FPU;43;34828;01330;Ruffieu;188;184;33837;210103305
200040350;CC Bugey Sud;CC;FPU;43;34828;01234;Marignieu;180;173;33837;210102349
200040350;CC Bugey Sud;CC;FPU;43;34828;01302;Pollieu;167;161;33837;210103024
200040350;CC Bugey Sud;CC;FPU;43;34828;01329;Rossillon;159;153;33837;210103297
200040350;CC Bugey Sud;CC;FPU;43;34828;01117;Conzieu;154;146;33837;210101176
200040350;CC Bugey Sud;CC;FPU;43;34828;01100;Cheignieu-la-Balme;142;136;33837;210101002
200040350;CC Bugey Sud;CC;FPU;43;34828;01208;Lavours;133;127;33837;210102083
200040350;CC Bugey Sud;CC;FPU;43;34828;01110;Colomieu;132;131;33837;210101101
200040350;CC Bugey Sud;CC;FPU;43;34828;01006;Ambléon;116;110;33837;210100061
200040350;CC Bugey Sud;CC;FPU;43;34828;01456;Vongnes;77;70;33837;210104568
200040350;CC Bugey Sud;CC;FPU;43;34828;01066;La Burbanche;71;71;33837;210100665
200040350;CC Bugey Sud;CC;FPU;43;34828;01162;Flaxieu;69;69;33837;210101622
200040350;CC Bugey Sud;CC;FPU;43;34828;01019;Armix;26;26;33837;210100194
200042497;CC Dombes Saône Vallée;CC;FPU;19;38793;01427;Trévoux;7055;6849;37603;210104279
200042497;CC Dombes Saône Vallée;CC;FPU;19;38793;01322;Reyrieux;4800;4670;37603;210103222
200042497;CC Dombes Saône Vallée;CC;FPU;19;38793;01238;Massieux;2578;2519;37603;210102380
200042497;CC Dombes Saône Vallée;CC;FPU;19;38793;01166;Frans;2388;2334;37603;210101663
200042497;CC Dombes Saône Vallée;CC;FPU;19;38793;01157;Fareins;2253;2203;37603;210101572
200042497;CC Dombes Saône Vallée;CC;FPU;19;38793;01250;Misérieux;2195;1938;37603;210102505
200042497;CC Dombes Saône Vallée;CC;FPU;19;38793;01347;Saint-Didier-de-Formans;2012;1944;37603;210103479
200042497;CC Dombes Saône Vallée;CC;FPU;19;38793;01005;Ambérieux-en-Dombes;1705;1671;37603;210100053
200042497;CC Dombes Saône Vallée;CC;FPU;19;38793;01353;Sainte-Euphémie;1685;1657;37603;210103537
200042497;CC Dombes Saône Vallée;CC;FPU;19;38793;01105;Civrieux;1684;1606;37603;210101051
200042497;CC Dombes Saône Vallée;CC;FPU;19;38793;01446;Villeneuve;1517;1481;37603;210104469
200042497;CC Dombes Saône Vallée;CC;FPU;19;38793;01339;Saint-Bernard;1476;1434;37603;210103396
200042497;CC Dombes Saône Vallée;CC;FPU;19;38793;01021;Ars-sur-Formans;1418;1389;37603;210100210
200042497;CC Dombes Saône Vallée;CC;FPU;19;38793;01398;Savigneux;1349;1333;37603;210103982
200042497;CC Dombes Saône Vallée;CC;FPU;19;38793;01285;Parcieux;1220;1188;37603;210102851
200042497;CC Dombes Saône Vallée;CC;FPU;19;38793;01423;Toussieux;1020;1002;37603;210104238
200042497;CC Dombes Saône Vallée;CC;FPU;19;38793;01030;Beauregard;908;885;37603;210100301
200042497;CC Dombes Saône Vallée;CC;FPU;19;38793;01362;Saint-Jean-de-Thurigneux;786;773;37603;210103628
200042497;CC Dombes Saône Vallée;CC;FPU;19;38793;01318;Rancé;744;727;37603;210103180
200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65393;01283;Oyonnax;23150;22559;63403;210102836
200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65393;01185;Plateau d'Hauteville ;5025;4845;63403;200086122
200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65393;01031;Bellignat;3852;3618;63403;210100319
200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65393;01269;Nantua;3629;3482;63403;210102695
200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65393;01265;Montréal-la-Cluse;3480;3409;63403;210102653
